Component,Bugs,Browser
android,176833,Firefox
api,10670,Firefox
application,4298,Firefox
autocomplete,990,Firefox
autofill,5150,Firefox
bookmarks,4147,Firefox
cache,49646,Firefox
content,672817,Firefox
cookies,1740,Firefox
css,69531,Firefox
desktop,3194,Firefox
dns,5207,Firefox
dom,303051,Firefox
download,64,Firefox
enterprise,3353,Firefox
extensions,132493,Firefox
gfx,186179,Firefox
gpu,80,Firefox
infrastructure,917,Firefox
ipc,76854,Firefox
keyboard,688,Firefox
layout,202744,Firefox
media,180645,Firefox
mobile,17425,Firefox
net,4719,Firefox
notification,667,Firefox
os,29960,Firefox
parser,34762,Firefox
password,4375,Firefox
performance,13106,Firefox
permission,1665,Firefox
plugin,18010,Firefox
preferences,17628,Firefox
printing,1452,Firefox
profile,60411,Firefox
reporting,1455,Firefox
search,65806,Firefox
security,79484,Firefox
services,7583,Firefox
shell,21928,Firefox
storage,5454,Firefox
sync,15780,Firefox
themes,28207,Firefox
toolbar,4689,Firefox
tools,45909,Firefox
ui,5604,Firefox
url,3615,Firefox
views,1257,Firefox
webapps,1487,Firefox
webstore (web-platform),332683,Firefox
widget,34763,Firefox
android,449607,Chromium
api,462,Chromium
application,91529,Chromium
autocomplete,1805,Chromium
autofill,21000,Chromium
bookmarks,2021,Chromium
cache,155,Chromium
content,60389,Chromium
cookies,554,Chromium
css,1527,Chromium
desktop,593,Chromium
dns,1309,Chromium
dom,1632,Chromium
download,4919,Chromium
enterprise,778,Chromium
extensions,60978,Chromium
gfx,4855,Chromium
gpu,13154,Chromium
infrastructure,7445,Chromium
ipc,1421,Chromium
keyboard,2578,Chromium
layout,7651,Chromium
media,22821,Chromium
mobile,3,Chromium
net,26128,Chromium
notification,3390,Chromium
os,497,Chromium
parser,5,Chromium
password,9177,Chromium
performance,1222,Chromium
permission,782,Chromium
plugin,605,Chromium
preferences,1131,Chromium
printing,2264,Chromium
profile,2423,Chromium
reporting,281,Chromium
search,2888,Chromium
security,210,Chromium
services,8581,Chromium
shell,2506,Chromium
storage,715,Chromium
sync,11110,Chromium
themes,275,Chromium
toolbar,2306,Chromium
tools,24137,Chromium
ui,47629,Chromium
url,883,Chromium
views,18323,Chromium
webapps,497,Chromium
webstore (web-platform),22,Chromium
widget,1414,Chromium
