Churn,Browser
7431396,Chrome
198211,Chrome
19837359,Chrome
669618,Chrome
2642941,Chrome
527877,Chrome
51750,Chrome
3249438,Chrome
8235581,Chrome
112834,Chrome
700227,Chrome
168239,Chrome
176253,Chrome
884591,Chrome
967547,Chrome
104968,Chrome
7248942,Chrome
1334269,Chrome
3992052,Chrome
1485849,Chrome
416478,Chrome
165704,Chrome
1286501,Chrome
5585821,Chrome
8290,Chrome
14217829,Chrome
469950,Chrome
113636,Chrome
28823,Chrome
1013126,Chrome
207388,Chrome
176534,Chrome
2061937,Chrome
158599,Chrome
498760,Chrome
101087,Chrome
490161,Chrome
2261669,Chrome
43331,Chrome
663498,Chrome
91154,Chrome
1323022,Chrome
690263,Chrome
176553,Chrome
3546907,Chrome
58795,Chrome
452577,Chrome
10893024,Chrome
6988264,Chrome
656089,Chrome
5163193,Chrome
19530,Chrome
119071,Chrome
227624,Chrome
36526,Chrome
469995,Chrome
4042464,Firefox
799361,Firefox
65846,Firefox
53314,Firefox
254973,Firefox
298405,Firefox
636305,Firefox
189707,Firefox
18049167,Firefox
40871,Firefox
5221316,Firefox
199980,Firefox
253513,Firefox
11011052,Firefox
21390,Firefox
59306,Firefox
7533161,Firefox
22782942,Firefox
1559773,Firefox
33524,Firefox
2853145,Firefox
10335,Firefox
11617586,Firefox
17698869,Firefox
430063,Firefox
953166,Firefox
60165,Firefox
622773,Firefox
3411139,Firefox
449371,Firefox
458874,Firefox
55729,Firefox
1815893,Firefox
654115,Firefox
83804,Firefox
5969,Firefox
1039333,Firefox
524413,Firefox
44049,Firefox
579096,Firefox
58643135,Firefox
801359,Firefox
190607,Firefox
496156,Firefox
890077,Firefox
1085082,Firefox
29757,Firefox
4429568,Firefox
356216,Firefox
270965,Firefox
125840,Firefox
16359004,Firefox
104243,Firefox
144907,Firefox
2274616,Firefox
3540743,Firefox
