summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
bookmark toolbar separators not consistent in appearance on mixed-dpi (custom devpixelsperpx) setup        ,Firefox,Theme        ,2022-10-11    ,bookmark toolbar separator consistent appearance mixeddpi custom devpixelsperpx setup ,0,"bookmark, bar",bar,bar
standardize color of extension icons in location bar and in information doorhanger/panelui in location bar to photon specific ones        ,Firefox,Site Identity        ,2022-10-11    ,standardize color extension icon location bar information doorhangerpanelui location bar photon specific one ,0,bar,bar,bar
vertical space user interface improvement: floating expandable navigation and bookmark toolbar        ,Firefox,Toolbars and Customi        ,2022-10-10    ,vertical space user interface improvement floating expandable navigation bookmark toolbar ,0,"bookmark, bar",bar,bar
suspend the taskbar refresh in windowsjumplists.jsm when computer becomes idle        ,Firefox,General        ,2022-10-11    ,suspend taskbar refresh windowsjumplistsjsm computer becomes idle ,0,bar,"window, bar",bar
toolbars not disappearing in fullscreen on popups        ,Firefox,Toolbars and Customi        ,2022-10-10    ,toolbars disappearing fullscreen popups ,0,bar,"bar, screen",bar
"page action items disappear when typing in the location bar, even after taking focus out of the location bar        ",Firefox,Address Bar        ,2022-10-11    ,page action item disappear typing location bar even taking focus location bar ,0,"page, bar",bar,bar
right scrollbar of inbox not shown in mail client from one.com        ,Firefox,General        ,2022-10-10    ,right scrollbar inbox shown mail client onecom ,0,"bar, show",bar,bar
"extra space to the right of ""bookmark toolbar items"" when moved to custom toolbars        ",Firefox,Toolbars and Customi        ,2022-10-10    ,extra space right bookmark toolbar item moved custom toolbars ,0,"bookmark, bar",bar,bar
find bar covers up loading bar        ,Firefox,General        ,2022-10-10    ,find bar cover loading bar ,0,bar,bar,bar
not display all toolbars when force quit        ,Firefox,Toolbars and Customi        ,2022-10-10    ,display toolbars force quit ,0,bar,bar,bar
firefox incorrectly displays scrollbars in responsive mode        ,DevTools,Responsive Design Mo        ,2022-10-11    ,firefox incorrectly display scrollbars responsive mode ,0,bar,bar,bar
several address/search bar bugs.        ,Firefox,Toolbars and Customi        ,2022-10-10    ,several addresssearch bar bug ,0,"add, bar, search",bar,bar
errors while customizing toolbars        ,Firefox,General        ,2022-10-10    ,error customizing toolbars ,0,"bar, error",bar,bar
