summary,cluster_tag,clusters
firefox quantum slowly closes file uri process (5 seconds)        ,Functional Performance Bugs,2
dragged images from firefox doesn't fully support the file promise        ,Functional Performance Bugs,2
preferences show firefox is the default browser when it is not associated with html files        ,Functional Performance Bugs,2
when choosing a different application to open a file the chosen application is ignored        ,Functional Performance Bugs,2
"when downloading the proxy.pac file, firefox does not send the cookie: http header to the server        ",Functional Performance Bugs,2
[pdf.js] pdf file making firefox unresponsive        ,Functional Performance Bugs,2
shows blank pdf when file is hosted in a directory protected by ntlm        ,Functional Performance Bugs,2
firefox 32 or higher refuses to restore session files from older versions        ,Functional Performance Bugs,2
file handle remains open/locked by firefox after local file accidentally dropped on browser window        ,Functional Performance Bugs,2
firefox stops scrolling using the synaptics touchpad after opening a pdf file in adobe reader        ,Functional Performance Bugs,2
"pdf file is printed with wrongly positioned glyphs, barely readable        ",Functional Performance Bugs,2
firefox locks os folder after reading html file.        ,Functional Performance Bugs,2
8.3 file format after a sync of a roaming profile for the firefox profile folder for 3 files        ,Functional Performance Bugs,2
incorrect pop-up origin for file chooser inside frame        ,Functional Performance Bugs,2
cannot open pdf attached email file with _%_ included in the file name        ,Functional Performance Bugs,2
"osx default ""open with..."" for files reset by firefox, especially pdfs.        ",Functional Performance Bugs,2
firefox does not close local file handles        ,Functional Performance Bugs,2
firefox uses 60% of my cpu while downloading a file        ,Functional Performance Bugs,2
firefox generated pdfs have large file size        ,Functional Performance Bugs,2
[e10s] firefox 60 won't open any local file if a <symlinkd> is in the path to that file        ,Functional Performance Bugs,2
"pdf share results in sharing ""authorization required"" html file        ",Functional Performance Bugs,2
downloading a large file to a network share corrupts  and truncates the file        ,Functional Performance Bugs,2
download history of same file location shows incorrect file size        ,Functional Performance Bugs,2
firefox leaks open file descriptors to subprocesses like updater        ,Functional Performance Bugs,2
svg file found in the wild hangs all firefox tabs        ,Functional Performance Bugs,2
firefox not picking the good interface when over vpn with pac file        ,Functional Performance Bugs,2
media playback: block firefox from automatically playing media when accessed directly via a file        ,Functional Performance Bugs,2
dragging the icon from the url bar to a file manager window results in “untitled.lnk” for text files        ,Functional Performance Bugs,2
import files with the finder causes firefox to freeze and crashes.        ,Functional Performance Bugs,2
"using firefox to open files from disk shows those files under ""recent items"" on the taskbar, despite browser.taskbar.lists.enabled being false        ",Functional Performance Bugs,2
firefox can not open local html files (file//)        ,Functional Performance Bugs,2
[kde] firefox ignores default/preferred file browser in        ,Functional Performance Bugs,2
links to sharepoint files do not open        ,Functional Performance Bugs,2
downloading multiple files not accessible        ,Functional Performance Bugs,2
firefox developer tools generate invalid har files when content is blocked        ,Functional Performance Bugs,2
"newly downloaded files by firefox don't show up in macos ""recents"" category        ",Functional Performance Bugs,2
dragging file attachment from thunderbird to firefox file input breaks the form        ,Functional Performance Bugs,2
"incorrect handler display on about:preferences after ""always open similar files"" (can't find default handler for css files)        ",Functional Performance Bugs,2
firefox snap cannot access user fonts and fontconfig files        ,Functional Performance Bugs,2
